SITE_CODE,SHORT_TITLE,TITLE,SITE_TYPE,SUB_TYPE,STAGE,PROJ_CODE,PROJECT_TITLE,LONGITUDE,LATITUDE,EASTING,NORTHING,MGA_ZONE,COMMODITIES,COMMODITY_GROUP_NAME,TARGET_GROUP_NAME,MAP_LABEL_NAME,INCLUDE_COMMODITY_FLAG,MAP_COMMODITIES,ACTIVE_FLAG,SYMBOL,MAP_SERIES,CONFIDENTIALITY,MAP_SHEET_NO_100K,MAP_SHEET_NAME_100K,MAP_SHEET_NO_250K,MAP_SHEET_NAME_250K,LGA_NAME,DEVELOPMENT_REGION,DISTRICT_NO,DISTRICT_NAME,TECTONIC_UNIT,EXTRACT_DATE
S0019751,Chris D,Chris D,Mine,Openpit,Operating,J00725,Woodie Woodie (Mining Corridor) / ConsMin,121.247303000000002,-21.603563999999999,318566,7610030,51,Mn,Steel alloy metal,MANGANESE ORE,Chris D,Y,Mn,Y,,Operating Mine,Public,3154,PEARANA,SF51-05,NULLAGINE,"EAST PILBARA, SHIRE OF","PILBARA, Development Region",45,MARBLE BAR,Carawine Sub-basin,20260112
S0019771,Waihi Central,Waihi Central,Mine,Openpit,Operating,J00084,Davyhurst - Lady Ida - Mulline - Riverina - Siberia Gold,120.635110999999995,-30.039418000000001,271970,6674490,51,Au Ag,Precious metal,GOLD,,N,,,,,Public,3037,DAVYHURST,SH51-09,KALGOORLIE,"MENZIES, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",30,ULARRING,Eastern Goldfields Superterrane,20260112
S0019774,Baldivis Rd Lots 1 2 and 825 / Italia,Baldivis Rd Lots 1 2 and 825 / Italia,Mine,Openpit,Operating,J02656,Baldivis / Italia,115.826734999999999,-32.290120000000002,389525,6426802,50,Sd,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,2033,FREMANTLE,SI50-02,PINJARRA,"ROCKINGHAM, CITY OF",METRO,70,SOUTH WEST M.F.,Mandurah Terrace,20260112
S0019777,Eleven Bells,Eleven Bells - Wallbrook,Mine,Openpit,Operating,J00094,Porphyry - Northern Operations,122.315111999999999,-29.868357000000000,433856,6695604,51,Au Ag,Precious metal,GOLD,,N,,,,,Public,3338,EDJUDINA,SH51-06,EDJUDINA,"MENZIES, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",31,YERILLA,Yilgarn Craton granites,20260112
S0019779,Invicta,Invicta - Deakin,Mine,Decline,Operating,J01726,Jundee - Nimary,120.588610000000003,-26.361485999999999,259374,7082034,51,Au Ag,Precious metal,GOLD,Invicta,N,,Y,,Operating Mine,Public,3045,MILLROSE,SG51-09,WILUNA,"WILUNA, SHIRE OF","MID-WEST, Development Region",53,WILUNA,Eastern Goldfields Superterrane,20260112
S0019812,Pindan sand,Pindan Sand - Derby,Mine,Openpit,Operating,J02665,Pindan Sand - Derby,123.786951999999999,-17.369785000000000,583602,8079365,51,Sd,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,3663,DERBY,SE51-07,DERBY,"DERBY/WEST KIMBERLEY, SHIRE OF","KIMBERLEY, Development Region",4,WEST KIMBERLEY M.F.,Fitzroy Trough,20260112
S0019903,Yeeda Sandstone/McCorry Brown,Yeeda Sandstone Rock / McCorry Brown,Mine,Openpit,Operating,J01131,Roebuck Plains / McCorry Brown,123.017919000000006,-17.818583000000000,501899,8029885,51,Brck OrnStone,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,3562,CLARKSON,SE51-07,DERBY,"BROOME, SHIRE OF","KIMBERLEY, Development Region",4,WEST KIMBERLEY M.F.,Fitzroy Trough,20260112
S0019916,Comet Hill/Boral,Comet Hill / Boral,Mine,Openpit,Operating,J00844,Comet Hill-Gnarlabine / Boral,121.050211000000004,-31.034244999999999,313911,6564970,51,Sd Gvl,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,3135,YILMIA,SH51-13,BOORABBIN,"COOLGARDIE, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",15,COOLGARDIE,Yilgarn Craton granites,20260112
S0019936,Mooliabeenee Rd Lot 502 / AAA Sands,Mooliabeenee Rd Mooliabeenee Lot 502 / AAA Sands,Mine,Openpit,Operating,J02680,Bindoon / AAA Sands,116.040007000000003,-31.328108000000000,408666,6533636,50,Sd,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,2135,CHITTERING,SH50-14,PERTH,"CHITTERING, SHIRE OF","WHEATBELT, Development Region",70,SOUTH WEST M.F.,Barberton Terrace,20260112
S0020023,Seven Mile Gravel/Norwest,Seven Mile Gravel / Norwest,Mine,Openpit,Operating,J02698,Karratha Gravel / Norwest,116.756465000000006,-20.771490000000000,474651,7703123,50,Gvl,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,2256,DAMPIER,SF50-02,DAMPIER,"KARRATHA, CITY OF","PILBARA, Development Region",47,WEST PILBARA M.F.,Maitland River Supersuite,20260112
