WELL_NAME,UWI,BASIN,LEASE_NO,LONG,LAT,OPERATOR,CLASS,STATUS,FIELD,SPUD_DATE,RIG_RELEASE_DATE,EXTRACT_DATE
Agincourt 3H,W002122,Northern Carnarvon,TL/6,115.514318,-20.668772,Apache Northwest Pty Ltd,DEV,P&A OGS,Agincourt,19970620,19970704,20260417
BMR Madley 1,W002128,Officer,,124.348576,-24.226389,Geoscience Australia,STR,P&A STR,,19721027,19721123,20260417
Vesuvius 1,W002259,Northern Carnarvon,WA-257-P,115.97764,-20.223683,Mobil Exploration & Producing Australia Pty Ltd,NFW,P&A,,19980821,19980831,20260417
Breaker 1,W002271,Northern Carnarvon,TP/6,114.834455,-21.5851,Apache Energy Limited,NFW,P&A,,19981111,19981118,20260417
Gimlet 1,W002272,Northern Carnarvon,WA-243-P,116.845879,-20.119042,Mobil Exploration & Producing Australia Pty Ltd,NFW,P&A,,19981109,19981115,20260417
Barrow_C21M,W002276,Northern Carnarvon,L 1H,115.372468,-20.862203,West Australian Petroleum Pty Limited,DEV,O,Barrow Island,19981117,19981209,20260417
Hellcat 1,W002279,Northern Carnarvon,WA-208-P,116.618765,-19.713968,Woodside Energy Ltd,NFW,P&A,,19981128,19981227,20260417
Hellcat 1 ST1,W002279,Northern Carnarvon,WA-208-P,116.618765,-19.713968,Woodside Energy Ltd,NFW,P&A,,19981217,,20260417
Cowle 4,W002301,Northern Carnarvon,TL/4,114.969664,-21.5222,West Australian Petroleum Pty Limited,DEV,P&A O,Cowle,19990425,19990510,20260417
BMR Talbot 1,W002306,Officer,,126.543068,-26.151901,Geoscience Australia,STR,P&A STR,,19720101,19720101,20260417
Stag 16,W002315,Northern Carnarvon,WA-15-L,116.301416,-20.276456,Apache Energy Limited,DEV,P&A O,Stag,19990604,19990608,20260417
Tubridgi 16,W002336,Northern Carnarvon,L 9,114.856079,-21.762985,Boral Energy Resources Limited,DEV,P&A G,Tubridgi,19990904,19990911,20260417
Nasutus 1,W002347,Northern Carnarvon,EP 409,115.338782,-21.316967,Apache Northwest Pty Ltd,NFW,P&A OGS,Nasutus,19991112,19991122,20260417
Monty 2,W002354,Northern Carnarvon,TL/1,115.744298,-20.60653,Apache Northwest Pty Ltd,EXT,P&A GS,Monty,19991209,19991223,20260417
Maenad 1A,W002372,Northern Carnarvon,WA-267-P,114.619261,-20.112767,Chevron Oil Company,NFW,P&A G,Maenad,20000311,20000410,20260417
Maenad 1,W002372,Northern Carnarvon,WA-267-P,114.619261,-20.112767,Chevron Oil Company,NFW,P&A G,Maenad,20000228,,20260417
Wambenger 1,W002380,Bonaparte,WA-273-P,126.324072,-11.707371,Newfield Australia (Cartier) Pty Ltd,NFW,P&A,,20000501,20000517,20260417
HC 4,W002383,Northern Carnarvon,TL/1,115.627207,-20.588999,Apache Northwest Pty Ltd,DEV,P&A OG,Harriet,20000510,20000524,20260417
Bantha 1,W002392,Northern Carnarvon,TL/3,115.324665,-20.736424,Chevron Australia Pty Ltd,NFW,P&A,,20000618,20000626,20260417
Carolina 1,W002403,Northern Carnarvon,EP 403,115.842434,-20.457492,Apache Northwest Pty Ltd,NFW,P&A,,20000819,20000824,20260417
Castor 1,W002405,Northern Carnarvon,WA-5-L,115.784673,-19.825757,Woodside Energy Ltd,NFW,P&A,,20000824,20000923,20260417
Kudu 1,W002409,Northern Carnarvon,WA-256-P,115.998574,-20.341186,Apache Northwest Pty Ltd,NFW,P&A,,20000902,20000908,20260417
Barrow_M63A,W002418,Northern Carnarvon,L 1H,115.40134,-20.819633,Chevron Australia Pty Ltd,DEV,O,Barrow Island,20001002,20001009,20260417
Barrow_G64B,W002420,Northern Carnarvon,L 1H,115.351341,-20.848633,Chevron Australia Pty Ltd,DEV,O,Barrow Island,20001011,20001017,20260417
ENC 02,W002739,Northern Carnarvon,WA-28-L,113.975085,-21.487565,Woodside Energy Ltd,WIW,SUSP,Enfield,20050304,20060125,20260417
Romulus 1,W002746,Northern Carnarvon,TL/6,115.564407,-20.699337,Apache Northwest Pty Ltd,NFW,P&A,,20050407,20050411,20260417
