Local system number,call number,Title,Date,Description of physical object,notes,Summary,Subject headings: Topical,Caption for URL,URL,URL2
b36546227,ACC 8661A/73,John Hutchinson's bird songs recorded on 17 April 1967 and 29 May 1967.,1967,1 audiotape reel (approximately 12 min.) ,Recorded using Fi-Cord 202 portable reel tape recorder.,"John Hutchinson is an ornithologist and a birdcall recordist. Tape 4""/25, consists of field recordings of bird calls made at Gascoyne Research Station, Carnarvon on 17 April 1967 and at Munkajara, Carnarvon on 29 May 1967. This tape reel is accompanied by a field note. ACC 8661A/73 ",Birds;Honeyeaters;Scissors grinder;Birdsongs,John Hutchinson's bird songs recorded on 17 April 1967 and 29 May 1967. Part 1,http://purl.slwa.wa.gov.au/slwa_b3654622_2,
b36546288,ACC 8661A/74,John Hutchinson's bird songs recorded on 30 June 1967.,1967,1 audiotape reel (approximately 13 min.) ,Recorded using Fi-Cord 202 portable reel tape recorder.,"John Hutchinson is an ornithologist and a birdcall recordist. Tape 4""26, consists of field recordings of bird calls made at Wyndham Marsh and Kununurra on 30 June 1967.This tape reel is accompanied by a field note. ACC 8661A/74 ",Birds;Honeyeaters;Great bowerbirds;Birdsongs;Birdsongs,John Hutchinson's bird songs recorded on 30 June 1967. Part 1,http://purl.slwa.wa.gov.au/slwa_b3654628_2,
b3654629x,ACC 8661A/75,John Hutchinson's bird songs recorded on 2 and 4 July 1967.,1967,1 audiotape reel (approximately 13 min.) ,Recorded using Fi-Cord 202 portable reel tape recorder.,"John Hutchinson is an ornithologist and a birdcall recordist. Tape 4""/27 consists of field recordings of bird calls made at Kununurra on 2 and 4 July 1967.This tape reel is accompanied by a field note. ACC 8661A/75 ",Birds;Great bowerbirds;Birdsongs,John Hutchinson's bird songs recorded on 2 and 4 July 1967. Part 1,http://purl.slwa.wa.gov.au/slwa_b3654629_2,
b36546306,ACC 8661A/76,John Hutchinson's bird songs recorded on 4 July 1967.,1967,"1 audiotape reel (approximately 12 min., 16 sec.) ",Recorded using Fi-Cord 202 portable reel tape recorder.,"John Hutchinson is an ornithologist and a birdcall recordist. Tape 4""/28 consists of field recordings of bird calls made at Kununurra on 4 July 1967. This tape reel is accompanied by a field note. ACC 8661A/76 ",Birds;Great bowerbirds;Lories;Pomatostomus temporalis;Birdsongs,John Hutchinson's bird songs recorded on 4 July 1967. Part 1,http://purl.slwa.wa.gov.au/slwa_b3654630_2,
b36546410,ACC 8661A/78,"John Hutchinson's bird songs recorded on 20, 22 and 26 July 1967.",1967,"1 audiotape reel (approximately 12 min., 5 sec.) ",Recorded using Fi-Cord 202 portable reel tape recorder.,"John Hutchinson is an ornithologist and a birdcall recordist. Tape 4""/30 consists of field recordings of bird calls made at Kununurra on  20, 22 and 26 July 1967. This tape reel is accompanied by a field note. ACC 8661A/78 ",Birds;Cockatoos;Crows;Pachycephala rufiventris;Pied butcherbirds;Great bowerbirds;Birdsongs,"John Hutchinson's bird songs recorded on 20, 22 and 26 July 1967. Part 1",http://purl.slwa.wa.gov.au/slwa_b3654641_2,
b36548480,ACC 8661A/77,"John Hutchinson's bird songs recorded on 7, 11 and 13 July 1967.",1967,"1 audiotape reel (approximately 11 min., 23 sec.) ",Recorded using Fi-Cord 202 portable reel tape recorder.,"John Hutchinson is an ornithologist and a birdcall recordist. Tape 4""/29 consists of field recordings of bird calls made at Kununurra on 7, 11 and 13  July 1967.This tape reel is accompanied by a field note. ACC 8661A/77 ",Birds;Great bowerbirds;Emus;Pied butcherbirds;Birdsongs,"John Hutchinson's bird songs recorded on 7, 11 and 13 July 1967. Part 1",http://purl.slwa.wa.gov.au/slwa_b3654848_2,
b36548509,ACC 8661A/79,"John Hutchinson's bird songs recorded on 27, 28, 30 and 31 July 1967.",1967,1 audiotape reel (approximately 13 min.) ,Recorded using Fi-Cord 202 portable reel tape recorder.,"John Hutchinson is an ornithologist and a birdcall recordist. Tape 4""/31 consists of field recordings of bird calls made at Kununurra on  27, 28 and 30 July 1967 and at West side of dam, Kununurra on 31 July 1967.This tape reel is accompanied by a field note. ACC 8661A/79 ",Birds;Kookaburra;Crows;Pachycephala rufiventris;Trillers;Sittellas;Passeriformes;Birdsongs,"John Hutchinson's bird songs recorded on 27, 28, 30 and 31 July 1967. Part 1",http://purl.slwa.wa.gov.au/slwa_b3654850_2,
b36548522,ACC 8661A/80,"John Hutchinson's bird songs recorded on 6 August 1967, 5 July 1968, 7 August 1968 and 2 and 3 June 1968.",1968,1 audiotape reel (approximately 14 min.) ,Recorded using Fi-Cord 202 portable reel tape recorder.,"John Hutchinson is an ornithologist and a birdcall recordist. Tape 4""/32 consists of field recordings of bird calls made at Negri River road crossing, East Kimberley on 6 August 1967 and at Durham River, Kununurra on 5 July 1968 and at Kununurra on 7 August 1968 and at Hann River, Central Kimberley on 2 and 3 June 1968. This tape reel is accompanied by a field note. ACC 8661A/80 ",Birds;Gt bowerbirds;Cockatoos;Magpie lark;Honeyeaters;Pachycephala rufiventris;Doves;Fantails;Gerygone olivacea;Scissor grinder;Pied butcherbirds;Birdsongs;Birdsongs;Birdsongs,"John Hutchinson's bird songs recorded on 6 August 1967, 5 July 1968, 7 August 1968 and 2 and 3 June 1968. Part 1",http://purl.slwa.wa.gov.au/slwa_b3654852_2,
b3654856x,ACC 8661A/81,John Hutchinson's bird songs recorded on 8 August 1968.,1967,1 audiotape reel (approximately 40 min.) ,Recorded using Fi-Cord 202 portable reel tape recorder.,"John Hutchinson is an ornithologist and a birdcall recordist. Tape 4""/33 consists of field recordings of bird calls made at Kununurra on 8 August 1968. This tape reel is accompanied by a field note. ACC 8661A/81 ",Birds;Pied butcherbirds;Birdsongs,John Hutchinson's bird songs recorded on 8 August 1968. Part 1,http://purl.slwa.wa.gov.au/slwa_b3654856_2,
b36548613,ACC 8661A/82,"John Hutchinson's bird songs recorded on 8, 9 and 11 August 1968 and 5 September 1968.",1968,1 audiotape reel (approximately 12 min.) ,Recorded using Fi-Cord 202 portable reel tape recorder.,"John Hutchinson is an ornithologist and a birdcall recordist. Tape 4""/34, consists of field recordings of bird calls made at Kununurra on 8, 9 and 11 August 1968 and 5 September 1968. This tape reel is accompanied by a field note. ACC 8661A/82 ",Birds;Pied butcherbirds;Parrots;Birdsongs,"John Hutchinson's bird songs recorded on 8, 9 and 11 August 1968 and 5 September 1968. Part 1",http://purl.slwa.wa.gov.au/slwa_b3654861_2,
