X,Y,OBJECTID,TREE_ID,DATE_PLANTED,SUBURB,BOTANICAL_NAME,COMMON_NAME,FAMILY,TREE_HEIGHT,RARE_SPECIES,HISTORIC_SIGNIFICANCE,COMMUNITY_SIGNIFICANCE,SIGNIFICANT_GROUP,RETIRED
12897464.7464,-3757978.3702,12403,19220,2019/05/10 03:24:06+00,PERTH,Casuarina cunninghamiana,River Sheoak,Casuarinaceae,,No,No,No,No,
12897470.8935,-3757979.4059,12404,19221,2019/05/10 03:22:22+00,PERTH,Casuarina cunninghamiana,River Sheoak,Casuarinaceae,,No,No,No,No,
12897475.0734,-3757980.0181,12405,19222,2019/05/10 03:22:22+00,PERTH,Casuarina cunninghamiana,River Sheoak,Casuarinaceae,,No,No,No,No,
12898323.6539,-3757180.202,12407,19224,2019/05/10 03:23:43+00,Perth,Corymbia maculata,Spotted Gum,Myrtaceae,,No,No,No,No,
12898317.8995,-3757179.061,12408,19225,2019/05/10 03:23:10+00,Perth,Callistemon 'Kings Park Special',Bottlebrush,Myrtaceae,,No,No,No,No,
12898313.9828,-3757177.9269,12409,19226,2019/05/10 03:20:21+00,PERTH,Callistemon 'Kings Park Special',Bottlebrush,Myrtaceae,,No,No,No,No,
12898308.0335,-3757169.189,12410,19227,2019/05/10 03:21:27+00,PERTH,Corymbia maculata,Spotted Gum,Myrtaceae,,No,No,No,No,
12898310.5547,-3757172.9803,12411,19228,2019/05/10 03:24:06+00,PERTH,Melaleuca bracteata,Black Tea Tree,Myrtaceae,,No,No,No,No,
12898307.6167,-3757172.0656,12412,19229,2019/05/10 03:22:48+00,PERTH,Melaleuca bracteata,Black Tea Tree,Myrtaceae,,No,No,No,No,
12898302.4986,-3757169.7115,12413,19230,2019/05/10 03:21:58+00,PERTH,Melaleuca bracteata,Black Tea Tree,Myrtaceae,,No,No,No,No,
12898264.554,-3757158.0489,12423,19240,2019/05/10 03:23:43+00,PERTH,Melaleuca bracteata,Black Tea Tree,Myrtaceae,,No,No,No,No,
12898243.3107,-3757147.4319,12431,19248,2019/05/10 03:24:19+00,PERTH,Ulmus parvifolia,Chinese Elm,Ulmaceae,,No,No,No,No,
12898264.4316,-3757153.7765,12434,19251,2019/05/10 03:24:19+00,PERTH,Corymbia maculata,Spotted Gum,Myrtaceae,,No,No,No,No,
